Dataset,Precision,Recall,F1-score,Threshold,CandidatesPairs,SelectedCandidates,RunningTime
UOBM_small-2016,0.78,0.56,0.65,0.99,2855739,212177,233.95
UOBM_small-2016,0.78,0.57,0.66,0.98,2855739,339599,280.79
UOBM_small-2016,0.78,0.56,0.65,0.95,2855739,414542,199.42
UOBM_small-2016,0.78,0.56,0.65,0.9,2855739,237866,137.98
UOBM_small-2016,0.78,0.57,0.66,0.98,2855739,532634,323.05
UOBM_small-2016,0.73,0.67,0.7,0.5,2855739,805899,306.71
UOBM_small-2016,0.73,0.67,0.7,0.3,2855739,736284,259.8
UOBM_small-2016,0.73,0.67,0.7,0.1,2855739,569421,226.95
UOBM_small-2016,0.78,0.57,0.66,0.98,2855739,320909,284.36
UOBM_small-2016,0.78,0.57,0.66,0.98,2855739,574465,272.34
UOBM_small-2016,0.78,0.57,0.66,0.95,2855739,709938,293.66
UOBM_small-2016,0.77,0.57,0.66,0.7,2855739,743472,295.74
UOBM_small-2016,0.77,0.57,0.66,0.4,2855739,743264,289.19
