Dataset,Precision,Recall,F1-score,Threshold,CandidatesPairs,SelectedCandidates,RunningTime
person,1.0,0.16,0.28,0.98,2000000,85,38.57
person,0.64,0.32,0.43,0.9,2000000,290,40.43
person,0.46,0.64,0.54,0.8,2000000,1023,38.8
person,0.58,0.39,0.47,0.85,2000000,402,39.7
person,1.0,0.23,0.37,0.85,2000000,148,38.14
person,0.51,0.38,0.44,0.7,2000000,413,39.5
person,0.43,0.59,0.5,0.7,2000000,875,38.97
person,0.5,1.0,0.67,0.7,2000000,21947,40.88
person,0.5,1.0,0.67,0.8,2000000,22234,40.19
person,0.5,1.0,0.67,0.8,2000000,23313,40.11
person,0.5,1.0,0.67,0.9,2000000,26397,43.95
person,0.51,1.0,0.68,0.95,2000000,17451,39.63
person,0.59,1.0,0.74,0.98,2000000,11877,40.1
person,0.92,1.0,0.96,0.99,2000000,8950,41.12
